t,phase,sin_pos,cos_pos,stance_l,stance_r,contact_l,contact_r,base_x,base_y,base_z,base_pitch,base_roll,base_yaw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,dof_lhp,dof_lhr,dof_lhy,dof_lkp,dof_lap,dof_lar,dof_rhp,dof_rhr,dof_rhy,dof_rkp,dof_rap,dof_rar,ref_lhp,ref_lhr,ref_lhy,ref_lkp,ref_lap,ref_lar,ref_rhp,ref_rhr,ref_rhy,ref_rkp,ref_rap,ref_rar,dvel_lhp,dvel_lhr,dvel_lhy,dvel_lkp,dvel_lap,dvel_lar,dvel_rhp,dvel_rhr,dvel_rhy,dvel_rkp,dvel_rap,dvel_rar,foot_z_l,foot_z_r,foot_vx_l,foot_vx_r,foot_vy_l,foot_vy_r,cfz_l,cfz_r,cmd_vx,cmd_vy,cmd_wz,rew_stability,rew_swing_foot_forward,rew_tracking_lin_vel,rew_tracking_ang_vel,rew_ref_joint_pos,rew_feet_contact_number,rew_feet_clearance,rew_foot_slip,rew_efficiency,rew_collision
0.0,0.5222222208976746,-0.13917309271867956,-0.9902680698998213,0.0,1.0,0.0,0.0,5.631730891764164e-05,0.00019589136354625225,0.6979507803916931,-0.00021409988403320312,0.0006053851684555411,-0.00020933151245117188,-2.4094040782074444e-05,0.0024941256269812584,-0.1948777139186859,0.05397335812449455,-0.015900978818535805,-0.028527718037366867,0.4641886055469513,0.045626744627952576,-0.3037490248680115,0.4561969041824341,-0.21227502822875977,-0.015880875289440155,-0.3648432493209839,-0.1167667806148529,0.2833560109138489,0.5152247548103333,-0.18515531718730927,-0.011784207075834274,0.43479329347610474,0.05695865675806999,-0.32530903816223145,0.5387105941772461,-0.19096601009368896,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.11947678029537201,0.12172111868858337,0.011371791362762451,0.190315380692482,0.37382858991622925,0.387387216091156,-0.0030528148636221886,0.1996195763349533,0.08564695715904236,-0.2086101919412613,-0.6140031814575195,0.5789116024971008,0.08715809136629105,0.09057096391916275,-0.07922233641147614,0.06866931915283203,-0.009737858548760414,-0.04504554718732834,0.0,0.0,0.5,0.0,0.0,0.6991056799888611,0.0,0.6064939498901367,0.9983736276626587,0.753518283367157,0.3499999940395355,0.9260396361351013,0.0,5.985990047454834,0.0
0.01,0.5333333611488342,-0.2079118617685598,-0.9781475643970758,0.0,1.0,0.0,0.0,0.00010480196215212345,0.0003885200712829828,0.6954598426818848,-0.000408172607421875,0.0012292719911783934,-0.000553131103515625,-0.00023895017511676997,0.0028010366950184107,-0.29264435172080994,0.07040680199861526,-0.024062298238277435,-0.04169594496488571,0.4626908600330353,0.04705047607421875,-0.3041258454322815,0.45845115184783936,-0.2114991545677185,-0.013640426099300385,-0.36508870124816895,-0.11448392271995544,0.28433817625045776,0.513179361820221,-0.18956761062145233,-0.007665752433240414,0.45197799801826477,0.06039560213685036,-0.33287033438682556,0.5627692341804504,-0.20626041293144226,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.1981116086244583,0.13973137736320496,0.02223280258476734,0.18526692688465118,0.33557915687561035,0.22908271849155426,-0.038684338331222534,0.2517235279083252,0.10444813966751099,-0.2003062516450882,-0.3179223835468292,0.3016236424446106,0.08481629937887192,0.08779440075159073,-0.09501651674509048,0.07217361032962799,-0.012035170570015907,-0.06679176539182663,0.0,0.0,0.5,0.0,0.0,0.7021886706352234,0.0,0.6062312722206116,0.9965289235115051,0.755223274230957,0.3499999940395355,0.8836678266525269,0.0,4.383580684661865,0.0
0.02,0.5444444417953491,-0.275637339817032,-0.9612617005262356,0.0,1.0,0.0,0.0,0.00016898848116397858,0.0006207276601344347,0.6919897794723511,-0.0006690025329589844,0.001987818628549576,-0.0010128021240234375,-0.00048499106196686625,0.0027754888869822025,-0.39055100083351135,0.08151523768901825,-0.029755685478448868,-0.05205647647380829,0.4605303108692169,0.048596322536468506,-0.3044055104255676,0.4606407880783081,-0.21099472045898438,-0.012525219470262527,-0.3656895160675049,-0.11174595355987549,0.28543633222579956,0.5112786889076233,-0.19176112115383148,-0.0055398354306817055,0.4689093828201294,0.06378187984228134,-0.3403201401233673,0.5864731669425964,-0.22132934629917145,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.254854291677475,0.14718244969844818,0.03057049587368965,0.17792771756649017,0.31495553255081177,0.14729692041873932,-0.0717996135354042,0.2916118800640106,0.11185218393802643,-0.1846633106470108,-0.15361431241035461,0.15455055236816406,0.08150038123130798,0.08402139693498611,-0.10661249607801437,0.07494372129440308,-0.0105800935998559,-0.08212655037641525,0.0,0.0,0.5,0.0,0.0,0.7050013542175293,0.0,0.6059330105781555,0.994594931602478,0.7375574111938477,0.3499999940395355,0.8269654512405396,0.0,3.37734317779541,0.0
0.03,0.5555555820465088,-0.3420202997352155,-0.9396925638574744,0.0,1.0,0.0,0.0,0.00024361326359212399,0.0008787496481090784,0.6875404715538025,-0.0009732246398925781,0.0028325803577899933,-0.0015606880187988281,-0.0007598905940540135,0.002402722602710128,-0.48855146765708923,0.08764120936393738,-0.03327415883541107,-0.059680573642253876,0.4579015076160431,0.050198376178741455,-0.3045801520347595,0.46275532245635986,-0.21064287424087524,-0.009798064827919006,-0.3665885925292969,-0.10867533087730408,0.28658396005630493,0.5095270276069641,-0.19282083213329315,-0.004469585604965687,0.4855051040649414,0.06710101664066315,-0.34762224555015564,0.6097071170806885,-0.23609952628612518,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.29171037673950195,0.14703302085399628,0.014825678430497646,0.17065249383449554,0.30493488907814026,0.025790758430957794,-0.09817997366189957,0.31829360127449036,0.11558790504932404,-0.17114542424678802,-0.0733853355050087,0.07526926696300507,0.07720714062452316,0.07926217466592789,-0.11450708657503128,0.07763012498617172,-0.006539220456033945,-0.09291760623455048,0.0,0.0,0.5,0.0,0.0,0.7076281905174255,0.0,0.6056019067764282,0.9929017424583435,0.7085709571838379,0.3499999940395355,0.7589213252067566,0.0,2.947699785232544,0.0
0.04,0.5666666626930237,-0.40673662026718693,-0.9135454677976493,0.0,1.0,0.0,0.0,-0.0013947051484137774,0.0012297488283365965,0.6814874410629272,0.00504895718768239,0.004179862793534994,-0.00795125961303711,0.0016220943070948124,-1.4453852600126993e-05,-0.6665984988212585,0.11941281706094742,0.8645116090774536,-0.8672876954078674,0.4556356966495514,0.08014838397502899,-0.4453698396682739,0.48096364736557007,-0.35753580927848816,0.14418797194957733,-0.4118630588054657,-0.14797823131084442,0.43664446473121643,0.5799211859703064,-0.31928443908691406,-0.14033068716526031,0.5016841888427734,0.07033683359622955,-0.35474103689193726,0.6323578357696533,-0.2504989206790924,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-1.2975389957427979,4.542872428894043,-24.062692642211914,1.5857315063476562,-10.39639663696289,10.416131019592285,-4.576508522033691,-5.290426254272461,18.863632202148438,7.086357116699219,-10.207853317260742,-10.27329158782959,0.07225771993398666,0.07757783681154251,-0.0186668299138546,0.3312622606754303,1.497495174407959,-1.1603034734725952,0.0,0.0,0.5,0.0,0.0,0.29280269145965576,0.0,0.6084983348846436,0.22215589880943298,0.4169950485229492,0.3499999940395355,0.6873953938484192,0.0,14738.880859375,0.0
0.05,0.5777778029441833,-0.4694717024021403,-0.882947518623636,0.0,1.0,0.0,0.0,-0.0023220092989504337,0.0019290625350549817,0.674010157585144,0.007757261861115694,0.006440347991883755,-0.016115188598632812,-0.02332364022731781,0.006497187539935112,-0.8021801114082336,0.36004361510276794,-0.1246437281370163,-0.8150634765625,0.44974827766418457,0.11883075535297394,-0.6125881671905518,0.5471304655075073,-0.4860790967941284,0.009243340231478214,-0.4412645399570465,-0.183635413646698,0.5700928568840027,0.6568940281867981,-0.4306006133556366,0.00408004317432642,0.517367959022522,0.07347358763217926,-0.36164188385009766,0.6543151140213013,-0.26445746421813965,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-1.7239941358566284,3.865029811859131,-13.659305572509766,6.894899368286133,-10.199795722961426,-10.253623962402344,-1.671295166015625,-2.8868536949157715,10.821975708007812,7.7835612297058105,-10.075223922729492,10.328096389770508,0.06916946917772293,0.07550741732120514,-1.0870229005813599,-0.5969310998916626,0.7795999050140381,-0.7048949599266052,0.0,0.0,0.5,0.0,0.0,0.24097812175750732,0.0,0.5782091617584229,0.2648327350616455,0.2355387806892395,0.3499999940395355,0.6462230086326599,0.0,13401.896484375,0.0
0.06,0.5888888835906982,-0.529919236002096,-0.84804811379718,0.0,1.0,0.0,0.0,-0.002624650252982974,0.00346325128339231,0.6653060913085938,0.008442103862762451,0.011070775799453259,-0.02454233169555664,-0.0010592344915494323,0.02749469131231308,-0.9289530515670776,0.523428738117218,0.1864144653081894,-0.9335538744926453,0.41327089071273804,0.17338556051254272,-0.8183332681655884,0.6085643768310547,-0.6223352551460266,0.02923104353249073,-0.46403878927230835,-0.21290823817253113,0.6744037866592407,0.7355019450187683,-0.5432745814323425,0.04394704848527908,0.5324798226356506,0.07649596035480499,-0.36829110980033875,0.6754717826843262,-0.27790701389312744,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-4.652472496032715,5.969000816345215,-23.28291130065918,6.015830993652344,-10.264814376831055,2.622286319732666,-2.6400299072265625,-3.0082499980926514,10.203335762023926,7.807824611663818,-10.084589004516602,2.8192358016967773,0.06615666300058365,0.07302006334066391,-0.022799981757998466,-0.1669774055480957,1.7707290649414062,-0.8786101341247559,0.0,0.0,0.5,0.0,0.0,0.25341662764549255,0.0,0.6043313145637512,0.17498664557933807,0.08827201277017593,0.3499999940395355,0.6084340214729309,0.0,6104.07666015625,0.0
0.07,0.6000000238418579,-0.5877853734854867,-0.8090169063230552,0.0,1.0,0.0,0.0,-0.002053304109722376,0.005322565324604511,0.655343234539032,0.005943093914538622,0.016802683472633362,-0.03551912307739258,-0.00850999727845192,0.019105464220046997,-1.0467842817306519,0.6422212719917297,-0.5671732425689697,-1.1779353618621826,0.36202454566955566,0.221746027469635,-0.9896764755249023,0.6782922744750977,-0.7482582330703735,-0.08631906658411026,-0.48033595085144043,-0.23765335977077484,0.7614898681640625,0.8161069750785828,-0.6503517031669617,0.15343372523784637,0.5469464063644409,0.07938927412033081,-0.37465640902519226,0.6957249641418457,-0.29078227281570435,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-5.925305366516113,4.452404499053955,-14.376829147338867,7.030346393585205,-10.192944526672363,-10.113563537597656,-0.8560345768928528,-2.10723614692688,7.683079719543457,7.989663600921631,-10.04295539855957,10.063889503479004,0.06394606828689575,0.07039526849985123,-0.5382391810417175,-0.4890945851802826,1.4132829904556274,-0.7865670323371887,0.0,0.0,0.5,0.0,0.0,0.18361766636371613,0.0,0.5957733988761902,0.06234551593661308,0.008397102355957031,0.3499999940395355,0.5821200013160706,0.0,7458.8984375,0.0
0.08,0.6111111044883728,-0.64278757780998,-0.7660444698665863,0.0,1.0,0.0,0.0,-0.0012166241649538279,0.008002391085028648,0.6441408395767212,0.002760181436315179,0.02512326091527939,-0.04819917678833008,-0.007791423238813877,0.03225843980908394,-1.1824569702148438,0.9882334470748901,-0.16856800019741058,-1.3489363193511963,0.3072734475135803,0.2687121033668518,-1.120348572731018,0.7526410818099976,-0.8690127730369568,-0.19254685938358307,-0.5064590573310852,-0.2478482723236084,0.8180679082870483,0.8940168619155884,-0.7610567808151245,0.2220822274684906,0.5606968998908997,0.08213938027620316,-0.38070663809776306,0.7149756550788879,-0.3030202388763428,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-5.254392623901367,4.816729545593262,-12.273937225341797,7.412493705749512,-10.153039932250977,-10.044302940368652,-3.874107599258423,-0.4521842300891876,4.918497085571289,7.755365371704102,-10.072381019592285,5.3246026039123535,0.06229298561811447,0.06699182093143463,-0.27108293771743774,-0.1684834361076355,1.4659919738769531,-0.8053265810012817,0.0,0.0,0.5,0.0,0.0,0.17946520447731018,0.0,0.5958386063575745,0.026271821931004524,-0.03408801555633545,0.3499999940395355,0.5631888508796692,0.0,3768.248779296875,0.0
0.09,0.6222222447395325,-0.6946584722314966,-0.7193397020580772,0.0,1.0,0.0,0.0,0.00013300043065100908,0.011326232925057411,0.6316975355148315,-0.0017080307006835938,0.035690441727638245,-0.06246805191040039,-0.002936059609055519,0.017846139147877693,-1.2999553680419922,1.0971300601959229,-0.7317278981208801,-1.4464190006256104,0.23905712366104126,0.3173212707042694,-1.245539665222168,0.8290319442749023,-0.9826095700263977,-0.29850172996520996,-0.5341417789459229,-0.25350111722946167,0.8766618967056274,0.9750300645828247,-0.8588787913322449,0.31672075390815735,0.573664665222168,0.08473293483257294,-0.38641244173049927,0.7331305146217346,-0.31456151604652405,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-7.8876872062683105,4.762728214263916,-12.3006591796875,7.634076118469238,-10.099952697753906,-10.040210723876953,-1.9007413387298584,-0.47686487436294556,5.969498157501221,8.006311416625977,-8.764183044433594,7.814441204071045,0.06106330454349518,0.06369482725858688,0.00020944415882695466,-0.3541564345359802,1.6155993938446045,-1.0098159313201904,0.0,0.0,0.5,0.0,0.0,0.15444527566432953,0.00020944415882695466,0.6025851368904114,0.015233534388244152,-0.06043146550655365,0.3499999940395355,0.5495068430900574,0.0,3817.4453125,0.0
