t,phase,sin_pos,cos_pos,stance_l,stance_r,contact_l,contact_r,base_x,base_y,base_z,base_pitch,base_roll,base_yaw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,dof_lhp,dof_lhr,dof_lhy,dof_lkp,dof_lap,dof_lar,dof_rhp,dof_rhr,dof_rhy,dof_rkp,dof_rap,dof_rar,ref_lhp,ref_lhr,ref_lhy,ref_lkp,ref_lap,ref_lar,ref_rhp,ref_rhr,ref_rhy,ref_rkp,ref_rap,ref_rar,dvel_lhp,dvel_lhr,dvel_lhy,dvel_lkp,dvel_lap,dvel_lar,dvel_rhp,dvel_rhr,dvel_rhy,dvel_rkp,dvel_rap,dvel_rar,foot_z_l,foot_z_r,foot_vx_l,foot_vx_r,foot_vy_l,foot_vy_r,cfz_l,cfz_r,cmd_vx,cmd_vy,cmd_wz,rew_stability,rew_swing_foot_forward,rew_tracking_lin_vel,rew_tracking_ang_vel,rew_ref_joint_pos,rew_feet_contact_number,rew_feet_clearance,rew_foot_slip,rew_efficiency,rew_collision
0.0,0.5222222208976746,-0.13917309271867956,-0.9902680698998213,0.0,1.0,0.0,0.0,5.631730891764164e-05,0.00019589136354625225,0.6979507803916931,-0.00021409988403320312,0.0006053851684555411,-0.00020933151245117188,-2.4094040782074444e-05,0.0024941256269812584,-0.1948777139186859,0.05397335812449455,-0.015900978818535805,-0.028527718037366867,0.4641886055469513,0.045626744627952576,-0.3037490248680115,0.4561969041824341,-0.21227502822875977,-0.015880875289440155,-0.3648432493209839,-0.1167667806148529,0.2833560109138489,0.5152247548103333,-0.18515531718730927,-0.011784207075834274,0.3652067184448242,0.04304134473204613,-0.29469096660614014,0.44128942489624023,-0.1877322942018509,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.11947678029537201,0.12172111868858337,0.011371791362762451,0.190315380692482,0.37382858991622925,0.387387216091156,-0.0030528148636221886,0.1996195763349533,0.08564695715904236,-0.2086101919412613,-0.6140031814575195,0.5789116024971008,0.08715809136629105,0.09057096391916275,-0.07922233641147614,0.06866931915283203,-0.009737858548760414,-0.04504554718732834,0.0,0.0,0.5,0.0,0.0,0.8783671855926514,0.0,0.6064939498901367,0.9983736276626587,0.0,0.0,0.0,0.0,1.0164233446121216,0.0
0.01,0.5333333611488342,-0.2079118617685598,-0.9781475643970758,0.0,1.0,0.0,0.0,0.00010480196215212345,0.0003885200712829828,0.6954598426818848,-0.000408172607421875,0.0012292719911783934,-0.000553131103515625,-0.00023895017511676997,0.0028010366950184107,-0.29264435172080994,0.07040680199861526,-0.024062298238277435,-0.04169594496488571,0.4626908600330353,0.04705047607421875,-0.3041258454322815,0.45845115184783936,-0.2114991545677185,-0.013640426099300385,-0.36508870124816895,-0.11448392271995544,0.28433817625045776,0.513179361820221,-0.18956761062145233,-0.007665752433240414,0.3480220139026642,0.03960439935326576,-0.287129670381546,0.4172308146953583,-0.1767340749502182,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.1981116086244583,0.13973137736320496,0.02223280258476734,0.18526692688465118,0.33557915687561035,0.22908271849155426,-0.038684338331222534,0.2517235279083252,0.10444813966751099,-0.2003062516450882,-0.3179223835468292,0.3016236424446106,0.08481629937887192,0.08779440075159073,-0.09501651674509048,0.07217361032962799,-0.012035170570015907,-0.06679176539182663,0.0,0.0,0.5,0.0,0.0,0.883108377456665,0.0,0.6062312722206116,0.9965289235115051,0.0,0.0,0.0,0.0,0.9673048257827759,0.0
0.02,0.5444444417953491,-0.275637339817032,-0.9612617005262356,0.0,1.0,0.0,0.0,0.00016898848116397858,0.0006207276601344347,0.6919897794723511,-0.0006690025329589844,0.001987818628549576,-0.0010128021240234375,-0.00048499106196686625,0.0027754888869822025,-0.39055100083351135,0.08151523768901825,-0.029755685478448868,-0.05205647647380829,0.4605303108692169,0.048596322536468506,-0.3044055104255676,0.4606407880783081,-0.21099472045898438,-0.012525219470262527,-0.3656895160675049,-0.11174595355987549,0.28543633222579956,0.5112786889076233,-0.19176112115383148,-0.0055398354306817055,0.33109062910079956,0.03621812164783478,-0.2796798646450043,0.3935268819332123,-0.16589799523353577,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.254854291677475,0.14718244969844818,0.03057049587368965,0.17792771756649017,0.31495553255081177,0.14729692041873932,-0.0717996135354042,0.2916118800640106,0.11185218393802643,-0.1846633106470108,-0.15361431241035461,0.15455055236816406,0.08150038123130798,0.08402139693498611,-0.10661249607801437,0.07494372129440308,-0.0105800935998559,-0.08212655037641525,0.0,0.0,0.5,0.0,0.0,0.88753342628479,0.0,0.6059330105781555,0.994594931602478,0.0,0.0,0.0,0.0,0.891553521156311,0.0
0.03,0.5555555820465088,-0.3420202997352155,-0.9396925638574744,0.0,1.0,0.0,0.0,0.00024361326359212399,0.0008787496481090784,0.6875404715538025,-0.0009732246398925781,0.0028325803577899933,-0.0015606880187988281,-0.0007598905940540135,0.002402722602710128,-0.48855146765708923,0.08764120936393738,-0.03327415883541107,-0.059680573642253876,0.4579015076160431,0.050198376178741455,-0.3045801520347595,0.46275532245635986,-0.21064287424087524,-0.009798064827919006,-0.3665885925292969,-0.10867533087730408,0.28658396005630493,0.5095270276069641,-0.19282083213329315,-0.004469585604965687,0.31449490785598755,0.032898981124162674,-0.27237775921821594,0.37029287219047546,-0.15527673065662384,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.29171037673950195,0.14703302085399628,0.014825678430497646,0.17065249383449554,0.30493488907814026,0.025790758430957794,-0.09817997366189957,0.31829360127449036,0.11558790504932404,-0.17114542424678802,-0.0733853355050087,0.07526926696300507,0.07720714062452316,0.07926217466592789,-0.11450708657503128,0.07763012498617172,-0.006539220456033945,-0.09291760623455048,0.0,0.0,0.5,0.0,0.0,0.8918447494506836,0.0,0.6056019067764282,0.9929017424583435,0.0,0.0,0.0,0.0,0.8126910328865051,0.0
0.04,0.5666666626930237,-0.40673662026718693,-0.9135454677976493,0.0,1.0,0.0,0.0,-0.00040320330299437046,0.002097920747473836,0.6820418834686279,0.002045316155999899,0.0064919814467430115,0.0023026352282613516,0.020591726526618004,0.03841368108987808,-0.5916195511817932,0.6181930899620056,0.39746254682540894,0.5878848433494568,0.46035534143447876,0.09585519880056381,-0.44881102442741394,0.48503196239471436,-0.31332629919052124,-0.10289309173822403,-0.35666489601135254,-0.11613000184297562,0.37062951922416687,0.4869731366634369,-0.3137109577655792,0.1013006716966629,0.2983158230781555,0.029663164168596268,-0.2652589678764343,0.3476421535015106,-0.14492210745811462,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.5391905903816223,6.3958353996276855,-16.975318908691406,1.7871872186660767,-10.01564884185791,-7.088374137878418,1.634952187538147,-0.7845928072929382,10.403581619262695,-3.459362030029297,-10.16015911102295,10.021214485168457,0.07363853603601456,0.071464903652668,0.4101896584033966,0.6543467044830322,-0.2568931579589844,-0.10889559984207153,0.0,0.0,0.5,0.0,0.0,0.9083324670791626,0.0,0.6296344995498657,0.50096595287323,0.0,0.0,0.0,0.0,1274.09521484375,0.0
0.05,0.5777778029441833,-0.4694717024021403,-0.882947518623636,0.0,1.0,0.0,0.0,-0.00030771223828196526,0.0036539470311254263,0.675818681716919,0.002493735169991851,0.011622898280620575,0.004930191207677126,0.02003682777285576,0.0081343287602067,-0.6691713929176331,0.37264665961265564,-0.021072229370474815,0.14430810511112213,0.434713214635849,0.12381281703710556,-0.4777704179286957,0.45603233575820923,-0.2552988827228546,0.021282510831952095,-0.3420177698135376,-0.11908723413944244,0.40593767166137695,0.4673212468624115,-0.42288118600845337,0.10543015599250793,0.28263208270072937,0.02652641385793686,-0.2583581209182739,0.32568490505218506,-0.1348845213651657,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-2.282249927520752,1.618947148323059,0.12407255172729492,-2.7302422523498535,5.917934894561768,10.156243324279785,1.1742321252822876,-0.5464375615119934,1.7996453046798706,-1.2931551933288574,-10.056709289550781,0.9090638160705566,0.06668127328157425,0.06335856765508652,0.16082531213760376,0.32745128870010376,-0.45315009355545044,0.5149907469749451,0.0,0.0,0.5,0.0,0.0,0.7851592302322388,0.0,0.6307399868965149,0.9592057466506958,0.0,0.0,0.0,0.0,356.4925537109375,0.0
0.06,0.5888888835906982,-0.529919236002096,-0.84804811379718,0.0,1.0,0.0,0.0,-0.0011832816526293755,0.004949469119310379,0.668372631072998,0.006590633187443018,0.015747670084238052,0.008729246445000172,0.027341270819306374,0.014059526845812798,-0.7964314818382263,0.42840057611465454,0.6669570207595825,0.5175058841705322,0.43300604820251465,0.14784535765647888,-0.5067811012268066,0.44597312808036804,-0.28903862833976746,0.12865090370178223,-0.3442372679710388,-0.12250125408172607,0.4282560646533966,0.46416595578193665,-0.5407602787017822,0.2438438981771469,0.2675201892852783,0.023504037410020828,-0.25170889496803284,0.30452826619148254,-0.1252129077911377,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,0.7041025161743164,2.392007827758789,-3.2359931468963623,-1.1911945343017578,-3.6995112895965576,10.0366792678833,-0.6096747517585754,-0.24234479665756226,1.80807626247406,-0.3445715010166168,-10.169323921203613,10.281699180603027,0.059697866439819336,0.05521782487630844,0.674032986164093,0.07808665186166763,-0.1957606077194214,0.5782024264335632,0.0,0.0,0.5,0.0,0.0,0.7201043367385864,0.0,0.6394109725952148,0.585303544998169,0.0,0.0,0.0,0.0,629.413330078125,0.0
0.07,0.6000000238418579,-0.5877853734854867,-0.8090169063230552,0.0,1.0,0.0,0.0,-0.002469993196427822,0.005948462523519993,0.660062313079834,0.012612585909664631,0.01914573460817337,0.012456473894417286,0.0407719761133194,-0.002981980564072728,-0.8767975568771362,0.2872132360935211,0.6157115697860718,0.24541452527046204,0.42527228593826294,0.16046388447284698,-0.5483614802360535,0.41291940212249756,-0.3580935299396515,-0.00196982198394835,-0.3507534861564636,-0.1283937394618988,0.4284385144710541,0.4593944847583771,-0.5581079721450806,0.1962362676858902,0.25305360555648804,0.02061072364449501,-0.24534359574317932,0.2842750549316406,-0.11595430970191956,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-1.2766896486282349,0.8926742672920227,-4.119758129119873,-3.7258059978485107,-6.927156925201416,-10.212563514709473,-0.9271458983421326,-0.8127226233482361,-0.1580256074666977,-0.3033064305782318,-0.038328614085912704,-3.8010075092315674,0.05069282650947571,0.046441711485385895,0.5148614048957825,0.1175120621919632,-0.36491549015045166,0.6201366186141968,0.0,0.0,0.5,0.0,0.0,0.664241373538971,0.0,0.6558661460876465,0.8865156173706055,0.0,0.0,0.0,0.0,289.46514892578125,0.0
0.08,0.6111111044883728,-0.64278757780998,-0.7660444698665863,0.0,1.0,0.0,0.0,-0.004637217149138451,0.006486071739345789,0.650651216506958,0.022140882909297943,0.021390525624155998,0.012782127596437931,0.05376814305782318,-0.025508128106594086,-0.9981133341789246,0.23373541235923767,1.1317859888076782,-0.03860050067305565,0.43270638585090637,0.16941747069358826,-0.5487529635429382,0.4048989713191986,-0.46096473932266235,0.0487021878361702,-0.3588205873966217,-0.15290899574756622,0.5041146874427795,0.44852587580680847,-0.451833039522171,0.037825360894203186,0.2393031120300293,0.017860621213912964,-0.23929336667060852,0.2650243639945984,-0.107153981924057,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,1.232824683189392,0.9169886112213135,0.6400322318077087,-0.24733415246009827,-10.010222434997559,3.8253285884857178,-0.7321141362190247,-2.4988481998443604,9.108169555664062,-1.3808979988098145,10.04661750793457,-10.426959991455078,0.04142039269208908,0.036400921642780304,0.018997320905327797,0.2287329137325287,-0.2754521667957306,0.11061976850032806,0.0,0.0,0.5,0.0,0.0,0.5970345735549927,0.0,0.6706237196922302,0.997024416923523,0.0,0.0,0.0,0.0,620.1033935546875,0.0
0.09,0.6222222447395325,-0.6946584722314966,-0.7193397020580772,0.0,1.0,1.0,1.0,-0.007033309433609247,0.006524999160319567,0.6413040161132812,0.03208724036812782,0.02191929705440998,0.016645316034555435,-0.018020188435912132,-0.03305039554834366,-0.7096230387687683,-0.10799558460712433,1.508344054222107,0.7222216129302979,0.44371497631073,0.1829230636358261,-0.5712189078330994,0.39500564336776733,-0.4290056824684143,0.13516546785831451,-0.3540002703666687,-0.1714806854724884,0.5462235808372498,0.4234263598918915,-0.45851829648017883,-0.027960192412137985,0.22633536159992218,0.01526707038283348,-0.23358756303787231,0.2468695044517517,-0.09885462373495102,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,2.7525031566619873,1.2464182376861572,-0.9484264254570007,-2.7774147987365723,16.205778121948242,11.835762977600098,-1.6401216983795166,-1.7770379781723022,3.448416233062744,-2.960481643676758,19.368261337280273,-5.337055206298828,0.032292455434799194,0.026129677891731262,0.5334139466285706,0.27114996314048767,-0.2711329460144043,0.43541741371154785,1560.9705810546875,1719.86572265625,0.5,0.0,0.0,0.527927577495575,0.0,0.5834044814109802,0.3523225784301758,0.0,0.0,0.0,0.0,1355.772705078125,0.0
