t,phase,sin_pos,cos_pos,stance_l,stance_r,contact_l,contact_r,base_x,base_y,base_z,base_pitch,base_roll,base_yaw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,dof_lhp,dof_lhr,dof_lhy,dof_lkp,dof_lap,dof_lar,dof_rhp,dof_rhr,dof_rhy,dof_rkp,dof_rap,dof_rar,ref_lhp,ref_lhr,ref_lhy,ref_lkp,ref_lap,ref_lar,ref_rhp,ref_rhr,ref_rhy,ref_rkp,ref_rap,ref_rar,dvel_lhp,dvel_lhr,dvel_lhy,dvel_lkp,dvel_lap,dvel_lar,dvel_rhp,dvel_rhr,dvel_rhy,dvel_rkp,dvel_rap,dvel_rar,foot_z_l,foot_z_r,foot_vx_l,foot_vx_r,foot_vy_l,foot_vy_r,cfz_l,cfz_r,cmd_vx,cmd_vy,cmd_wz,rew_stability,rew_swing_foot_forward,rew_tracking_lin_vel,rew_tracking_ang_vel,rew_ref_joint_pos,rew_feet_contact_number,rew_feet_clearance,rew_foot_slip,rew_efficiency,rew_collision
0.0,0.5222222208976746,-0.13917309271867956,-0.9902680698998213,0.0,1.0,0.0,0.0,5.631730891764164e-05,0.00019589136354625225,0.6979507803916931,-0.00021409988403320312,0.0006053851684555411,-0.00020933151245117188,-2.4094040782074444e-05,0.0024941256269812584,-0.1948777139186859,0.05397335812449455,-0.015900978818535805,-0.028527718037366867,0.4641886055469513,0.045626744627952576,-0.3037490248680115,0.4561969041824341,-0.21227502822875977,-0.015880875289440155,-0.3648432493209839,-0.1167667806148529,0.2833560109138489,0.5152247548103333,-0.18515531718730927,-0.011784207075834274,0.3652067184448242,0.04304134473204613,-0.29469096660614014,0.44128942489624023,-0.1877322942018509,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.11947678029537201,0.12172111868858337,0.011371791362762451,0.190315380692482,0.37382858991622925,0.387387216091156,-0.0030528148636221886,0.1996195763349533,0.08564695715904236,-0.2086101919412613,-0.6140031814575195,0.5789116024971008,0.08715809136629105,0.09057096391916275,-0.07922233641147614,0.06866931915283203,-0.009737858548760414,-0.04504554718732834,0.0,0.0,0.5,0.0,0.0,0.8783671855926514,0.0,0.6064939498901367,0.9983736276626587,0.0,0.0,0.0,0.0,1.0164233446121216,0.0
0.01,0.5333333611488342,-0.2079118617685598,-0.9781475643970758,0.0,1.0,0.0,0.0,0.00010480196215212345,0.0003885200712829828,0.6954598426818848,-0.000408172607421875,0.0012292719911783934,-0.000553131103515625,-0.00023895017511676997,0.0028010366950184107,-0.29264435172080994,0.07040680199861526,-0.024062298238277435,-0.04169594496488571,0.4626908600330353,0.04705047607421875,-0.3041258454322815,0.45845115184783936,-0.2114991545677185,-0.013640426099300385,-0.36508870124816895,-0.11448392271995544,0.28433817625045776,0.513179361820221,-0.18956761062145233,-0.007665752433240414,0.3480220139026642,0.03960439935326576,-0.287129670381546,0.4172308146953583,-0.1767340749502182,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.1981116086244583,0.13973137736320496,0.02223280258476734,0.18526692688465118,0.33557915687561035,0.22908271849155426,-0.038684338331222534,0.2517235279083252,0.10444813966751099,-0.2003062516450882,-0.3179223835468292,0.3016236424446106,0.08481629937887192,0.08779440075159073,-0.09501651674509048,0.07217361032962799,-0.012035170570015907,-0.06679176539182663,0.0,0.0,0.5,0.0,0.0,0.883108377456665,0.0,0.6062312722206116,0.9965289235115051,0.0,0.0,0.0,0.0,0.9673048257827759,0.0
0.02,0.5444444417953491,-0.275637339817032,-0.9612617005262356,0.0,1.0,0.0,0.0,0.00016898848116397858,0.0006207276601344347,0.6919897794723511,-0.0006690025329589844,0.001987818628549576,-0.0010128021240234375,-0.00048499106196686625,0.0027754888869822025,-0.39055100083351135,0.08151523768901825,-0.029755685478448868,-0.05205647647380829,0.4605303108692169,0.048596322536468506,-0.3044055104255676,0.4606407880783081,-0.21099472045898438,-0.012525219470262527,-0.3656895160675049,-0.11174595355987549,0.28543633222579956,0.5112786889076233,-0.19176112115383148,-0.0055398354306817055,0.33109062910079956,0.03621812164783478,-0.2796798646450043,0.3935268819332123,-0.16589799523353577,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.254854291677475,0.14718244969844818,0.03057049587368965,0.17792771756649017,0.31495553255081177,0.14729692041873932,-0.0717996135354042,0.2916118800640106,0.11185218393802643,-0.1846633106470108,-0.15361431241035461,0.15455055236816406,0.08150038123130798,0.08402139693498611,-0.10661249607801437,0.07494372129440308,-0.0105800935998559,-0.08212655037641525,0.0,0.0,0.5,0.0,0.0,0.88753342628479,0.0,0.6059330105781555,0.994594931602478,0.0,0.0,0.0,0.0,0.891553521156311,0.0
0.03,0.5555555820465088,-0.3420202997352155,-0.9396925638574744,0.0,1.0,0.0,0.0,0.00024361326359212399,0.0008787496481090784,0.6875404715538025,-0.0009732246398925781,0.0028325803577899933,-0.0015606880187988281,-0.0007598905940540135,0.002402722602710128,-0.48855146765708923,0.08764120936393738,-0.03327415883541107,-0.059680573642253876,0.4579015076160431,0.050198376178741455,-0.3045801520347595,0.46275532245635986,-0.21064287424087524,-0.009798064827919006,-0.3665885925292969,-0.10867533087730408,0.28658396005630493,0.5095270276069641,-0.19282083213329315,-0.004469585604965687,0.31449490785598755,0.032898981124162674,-0.27237775921821594,0.37029287219047546,-0.15527673065662384,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.29171037673950195,0.14703302085399628,0.014825678430497646,0.17065249383449554,0.30493488907814026,0.025790758430957794,-0.09817997366189957,0.31829360127449036,0.11558790504932404,-0.17114542424678802,-0.0733853355050087,0.07526926696300507,0.07720714062452316,0.07926217466592789,-0.11450708657503128,0.07763012498617172,-0.006539220456033945,-0.09291760623455048,0.0,0.0,0.5,0.0,0.0,0.8918447494506836,0.0,0.6056019067764282,0.9929017424583435,0.0,0.0,0.0,0.0,0.8126910328865051,0.0
0.04,0.5666666626930237,-0.40673662026718693,-0.9135454677976493,0.0,1.0,0.0,0.0,0.002511794911697507,0.0002885200083255768,0.6827414035797119,-0.00865316390991211,0.0015530787641182542,-0.004260063171386719,0.03098429925739765,-0.034979838877916336,-0.5159067511558533,-0.16224724054336548,-1.0113989114761353,-0.3822602927684784,0.4347740709781647,0.020272718742489815,-0.1927354633808136,0.4532474875450134,-0.30453965067863464,-0.1687394082546234,-0.30778768658638,-0.10482026636600494,0.27861741185188293,0.431620329618454,-0.2858524024486542,-0.17024090886116028,0.2983158230781555,0.029663164168596268,-0.2652589678764343,0.3476421535015106,-0.14492210745811462,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-2.5010108947753906,-3.4392848014831543,13.78312873840332,-0.5050769448280334,-9.38438606262207,-10.42490005493164,6.368340015411377,0.2786567211151123,0.9318282008171082,-8.018027305603027,-10.111649513244629,-10.458410263061523,0.0713539645075798,0.06990637630224228,0.11040615290403366,1.1147054433822632,-0.6064277291297913,-0.46656396985054016,0.0,0.0,0.5,0.0,0.0,0.7959538698196411,0.0,0.642493486404419,0.746584951877594,0.0,0.0,0.0,0.0,1559.9600830078125,0.0
0.05,0.5777778029441833,-0.4694717024021403,-0.882947518623636,0.0,1.0,0.0,0.0,0.004032019060105085,-0.00047213933430612087,0.6767317056655884,-0.014125823974609375,0.0007154061459004879,-0.014393329620361328,0.004411076195538044,-0.06739253550767899,-0.6570625305175781,-0.1655309945344925,-0.412138968706131,-1.1848034858703613,0.42068102955818176,-0.01908697932958603,0.007610819768160582,0.43496209383010864,-0.20217382907867432,0.01959102228283882,-0.30820605158805847,-0.11291315406560898,0.3570367991924286,0.43477314710617065,-0.17622266709804535,-0.005963876843452454,0.28263208270072937,0.02652641385793686,-0.2583581209182739,0.32568490505218506,-0.1348845213651657,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.7200167775154114,-4.131664276123047,19.70276641845703,-1.415926456451416,10.032917022705078,10.653432846069336,-1.0494006872177124,-0.9117616415023804,6.854804992675781,1.6534192562103271,10.113449096679688,10.451349258422852,0.06440092623233795,0.06384555995464325,0.4951622486114502,0.04697815701365471,-0.3912387192249298,-0.5122968554496765,0.0,0.0,0.5,0.0,0.0,0.7514592409133911,0.0,0.6063485741615295,0.060354579240083694,0.0,0.0,0.0,0.0,1767.6539306640625,0.0
0.06,0.5888888835906982,-0.529919236002096,-0.84804811379718,0.0,1.0,0.0,0.0,0.006041797809302807,-0.0017250294331461191,0.6699008941650391,-0.020876407623291016,-0.0015721321105957031,-0.020739078521728516,0.022066857665777206,-0.05936288833618164,-0.7215808629989624,-0.24492497742176056,-0.8011280298233032,-0.4720962643623352,0.40734025835990906,-0.04128698259592056,0.09567841142416,0.4106118083000183,-0.09032966941595078,-0.14102841913700104,-0.28170210123062134,-0.11670683324337006,0.3775496780872345,0.41352060437202454,-0.27525314688682556,-0.16425813734531403,0.2675201892852783,0.023504037410020828,-0.25170889496803284,0.30452826619148254,-0.1252129077911377,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-1.734613060951233,-1.4768385887145996,7.495447158813477,-2.9215452671051025,10.055181503295898,-10.427231788635254,3.5639967918395996,-0.4061671495437622,2.5660271644592285,-2.862415313720703,-10.092799186706543,-10.40906810760498,0.05635545402765274,0.05614503473043442,1.016735315322876,0.5351373553276062,-0.4564253091812134,-0.41722747683525085,0.0,0.0,0.5,0.0,0.0,0.6723995208740234,0.0,0.6288339495658875,0.6403440237045288,0.0,0.0,0.0,0.0,1292.715087890625,0.0
0.07,0.6000000238418579,-0.5877853734854867,-0.8090169063230552,0.0,1.0,0.0,0.0,0.007723798044025898,-0.0026594027876853943,0.662026584148407,-0.02657461166381836,-0.0025758743286132812,-0.028054237365722656,0.003131838282570243,-0.057236555963754654,-0.8402668833732605,-0.03849439322948456,-0.4778672158718109,-0.7853184342384338,0.3982536196708679,-0.05686305835843086,0.21196933090686798,0.39283761382102966,0.016548292711377144,-0.02433427795767784,-0.2728017568588257,-0.12180355191230774,0.4291589558124542,0.40840309858322144,-0.17386336624622345,-0.16603326797485352,0.25305360555648804,0.02061072364449501,-0.24534359574317932,0.2842750549316406,-0.11595430970191956,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,-0.5946817398071289,-1.4753334522247314,11.794955253601074,-1.2705963850021362,10.045744895935059,10.107406616210938,0.10367952287197113,-0.21308095753192902,4.938302516937256,0.16697297990322113,10.052151679992676,-0.017825230956077576,0.04816433787345886,0.04800982028245926,0.810366153717041,0.1673002392053604,-0.4084627032279968,-0.6622041463851929,0.0,0.0,0.5,0.0,0.0,0.6277496218681335,0.0,0.6063439249992371,0.2912858724594116,0.0,0.0,0.0,0.0,314.41265869140625,0.0
0.08,0.6111111044883728,-0.64278757780998,-0.7660444698665863,0.0,1.0,0.0,0.0,0.009500744752585888,-0.003458957187831402,0.6530953645706177,-0.03260660171508789,-0.0034117698669433594,-0.03134775161743164,-0.003910087049007416,-0.04771965369582176,-0.9393776655197144,-0.11017407476902008,-0.7450324296951294,-0.19241908192634583,0.4038201570510864,-0.060501422733068466,0.2267528623342514,0.39158356189727783,0.138967826962471,-0.17411069571971893,-0.25817573070526123,-0.12128599733114243,0.46142977476119995,0.4053732454776764,-0.27794790267944336,-0.04688622057437897,0.2393031120300293,0.017860621213912964,-0.23929336667060852,0.2650243639945984,-0.107153981924057,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,0.23885956406593323,-0.0504092201590538,0.8590151071548462,-0.09803706407546997,10.15151309967041,-10.350728988647461,2.2303996086120605,-0.08792880177497864,2.69911527633667,-0.7339717745780945,-10.051434516906738,10.133448600769043,0.0396406352519989,0.03889474272727966,0.7582505345344543,0.24311776459217072,-0.5575568675994873,-0.05548235774040222,0.0,0.0,0.5,0.0,0.0,0.5880762934684753,0.0,0.5990530848503113,0.9286250472068787,0.0,0.0,0.0,0.0,930.8272705078125,0.0
0.09,0.6222222447395325,-0.6946584722314966,-0.7193397020580772,0.0,1.0,1.0,0.0,0.010654609650373459,-0.0046160779893398285,0.6432900428771973,-0.036219120025634766,-0.004632472991943359,-0.03728961944580078,-0.010680261068046093,-0.09260641038417816,-0.9515715837478638,0.06431866437196732,-0.014184769243001938,-0.7662443518638611,0.4077964723110199,-0.07298752665519714,0.30537521839141846,0.39943554997444153,0.17640480399131775,-0.22486308217048645,-0.25654542446136475,-0.12828446924686432,0.4887341558933258,0.4106934666633606,-0.2923400104045868,-0.16523286700248718,0.22633536159992218,0.01526707038283348,-0.23358756303787231,0.2468695044517517,-0.09885462373495102,0.0,-0.4000000059604645,-0.05000000074505806,0.3100000023841858,0.49000000953674316,-0.20999999344348907,0.0,0.19661778211593628,-0.1310417354106903,5.736189842224121,2.8399276733398438,-13.538936614990234,9.546005249023438,-0.7001013159751892,-0.13380564749240875,1.6041368246078491,0.4529048204421997,0.28982582688331604,-10.052572250366211,0.03062693029642105,0.029539264738559723,-0.04490577057003975,0.20871013402938843,-0.7627562284469604,-0.44522756338119507,912.9842529296875,0.0,0.5,0.0,0.0,0.5845445394515991,0.0,0.5834826231002808,0.30904731154441833,0.0,0.0,0.0,0.0,1152.329345703125,0.0
